09:33 AM,AUD/USD,0.6899,444134
09:34 AM,AUD/USD,0.6901,480134
09:35 AM,AUD/USD,0.6902,403134
09:36 AM,AUD/USD,0.6903,514134
09:37 AM,AUD/USD,0.6904,444534
09:38 AM,AUD/USD,0.6905,374134
09:39 AM,AUD/USD,0.6906,434234
09:40 AM,AUD/USD,0.6907,487134
09:41 AM,AUD/USD,0.6908,412134
09:42 AM,AUD/USD,0.6909,491134
09:43 AM,AUD/USD,0.691,454034
09:44 AM,AUD/USD,0.6911,371134
09:45 AM,AUD/USD,0.6912,450234
09:46 AM,AUD/USD,0.6913,414134
09:47 AM,AUD/USD,0.6914,484134
09:48 AM,AUD/USD,0.6915,431134
09:49 AM,AUD/USD,0.6916,454634
09:50 AM,AUD/USD,0.6917,414134
09:51 AM,AUD/USD,0.6918,489134
09:52 AM,AUD/USD,0.6919,421134
09:53 AM,AUD/USD,0.692,471134
09:54 AM,AUD/USD,0.6921,430234
09:55 AM,AUD/USD,0.6922,410134
09:56 AM,AUD/USD,0.6923,490234
09:57 AM,AUD/USD,0.6924,421334
09:58 AM,AUD/USD,0.6925,469134
09:59 AM,AUD/USD,0.6926,418134
10:00 AM,AUD/USD,0.6927,470134
10:01 AM,AUD/USD,0.6928,409134
10:02 AM,AUD/USD,0.6929,431234
10:03 AM,AUD/USD,0.693,420134
10:04 AM,AUD/USD,0.6931,488134
10:05 AM,AUD/USD,0.6932,430334
10:06 AM,AUD/USD,0.6933,491134
10:07 AM,AUD/USD,0.6934,428134
10:08 AM,AUD/USD,0.6935,480134
10:09 AM,AUD/USD,0.6936,409234
10:10 AM,AUD/USD,0.6937,420134
10:11 AM,AUD/USD,0.6938,467134
10:12 AM,AUD/USD,0.6939,430134
10:13 AM,AUD/USD,0.694,461134
10:14 AM,AUD/USD,0.6941,410134
10:15 AM,AUD/USD,0.6942,471334
10:16 AM,AUD/USD,0.6943,431134
10:17 AM,AUD/USD,0.6944,481134
10:18 AM,AUD/USD,0.6945,421134
10:19 AM,AUD/USD,0.6946,491134
10:20 AM,AUD/USD,0.6947,431134
10:21 AM,AUD/USD,0.6948,420234
10:22 AM,AUD/USD,0.6949,481134
10:23 AM,AUD/USD,0.695,432134
10:24 AM,AUD/USD,0.6951,492134
